OK,Funny,Ingenious,Longwinded,Persuasive,Courageous,Jaw-dropping,Unconvincing,Inspiring,Informative,Fascinating,Beautiful,Obnoxious,Confusing,url
18,22,63,46,108,158,153,11,670,42,122,280,19,10,"https://www.ted.com/talks/bill_strickland_makes_change_with_a_slide_show
"
74,167,97,92,212,236,221,30,1716,160,633,696,14,42,"https://www.ted.com/talks/ben_dunlap_talks_about_a_passionate_life
"
166,604,91,46,16,62,18,76,23,24,24,35,236,18,"https://www.ted.com/talks/david_pogue_on_the_music_wars
"
58,128,65,59,9,59,21,49,15,27,66,13,52,26,"https://www.ted.com/talks/alison_jackson_looks_at_celebrity
"
61,37,23,18,109,134,20,11,267,105,44,45,10,11,"https://www.ted.com/talks/chris_anderson_shares_his_vision_for_ted
"
88,6,136,42,123,61,28,157,114,162,76,7,40,57,"https://www.ted.com/talks/robin_chase_on_zipcar_and_her_next_big_idea
"
53,140,123,17,186,82,39,9,438,189,167,85,4,24,"https://www.ted.com/talks/jaime_lerner_sings_of_the_city
"
96,92,109,124,13,11,44,27,102,71,120,210,16,46,"https://www.ted.com/talks/david_macaulay_s_rome_antics
"
70,67,353,46,332,50,133,52,635,537,570,121,17,22,"https://www.ted.com/talks/michael_pollan_gives_a_plant_s_eye_view
"
102,73,93,46,244,32,45,30,363,308,182,33,10,30,"https://www.ted.com/talks/howard_rheingold_on_collaboration
"
58,129,142,22,11,34,267,20,177,77,529,667,6,9,"https://www.ted.com/talks/pamelia_kurstin_plays_the_theremin
"
50,202,36,21,8,63,79,19,24,196,206,14,7,5,"https://www.ted.com/talks/george_dyson_on_project_orion
"
73,10,49,33,20,16,29,33,187,75,117,177,12,0,"https://www.ted.com/talks/moshe_safdie_on_building_uniqueness
"
159,433,49,31,7,34,12,38,41,14,24,80,67,17,"https://www.ted.com/talks/the_jill_and_julia_show
"
126,1637,116,56,14,72,402,15,57,9,267,59,52,6,"https://www.ted.com/talks/the_raspyni_brothers_juggle_and_jest
"
33,0,8,0,43,108,10,12,183,37,36,45,4,1,"https://www.ted.com/talks/joseph_lekuton_tells_a_parable_for_kenya
"
67,89,37,2,18,25,70,13,154,80,191,66,9,2,"https://www.ted.com/talks/steve_jurvetson_on_model_rocketry
"
72,6,112,35,26,23,306,71,209,170,357,330,40,14,"https://www.ted.com/talks/roy_gould_and_curtis_wong_preview_the_worldwide_telescope
"
130,20,117,93,117,30,45,45,238,231,175,30,17,63,"https://www.ted.com/talks/alan_kay_shares_a_powerful_idea_about_ideas
"
30,9,292,34,73,71,680,14,239,402,583,33,14,33,"https://www.ted.com/talks/craig_venter_is_on_the_verge_of_creating_synthetic_life
"
30,24,86,51,26,19,77,4,101,131,177,14,7,12,"https://www.ted.com/talks/nicholas_negroponte_in_1984_makes_5_predictions
"
636,966,1228,398,1704,7842,10464,550,16918,5430,14447,9437,356,289,"https://www.ted.com/talks/jill_bolte_taylor_s_powerful_stroke_of_insight
"
35,40,16,76,10,9,10,7,41,32,31,19,9,11,"https://www.ted.com/talks/frank_gehry_as_a_young_rebel
"
28,480,452,24,301,223,215,8,1398,133,241,209,8,11,"https://www.ted.com/talks/dave_eggers_makes_his_ted_prize_wish_once_upon_a_school
"
86,15,97,50,528,458,91,123,1111,340,240,318,37,26,"https://www.ted.com/talks/karen_armstrong_makes_her_ted_prize_wish_the_charter_for_compassion
"
17,7,65,15,113,142,54,3,396,106,92,70,3,0,"https://www.ted.com/talks/neil_turok_makes_his_ted_prize_wish
"
96,19,58,119,61,11,30,22,193,181,122,37,25,16,"https://www.ted.com/talks/norman_foster_s_green_agenda
"
126,30,251,10,96,49,388,85,223,455,679,29,15,49,"https://www.ted.com/talks/christopher_decharms_scans_the_brain_in_real_time
"
119,1243,432,126,65,92,362,86,773,177,645,228,195,278,"https://www.ted.com/talks/clifford_stoll_on_everything
"
71,0,8,3,14,20,52,6,113,1,105,522,5,14,"https://www.ted.com/talks/rokia_traore_sings_m_bifo
"
74,28,282,1,324,35,197,65,81,307,524,110,7,10,"https://www.ted.com/talks/siegfried_woldhek_shows_how_he_found_the_true_face_of_leonardo
"
44,8,6,0,10,5,8,7,41,124,77,32,10,5,"https://www.ted.com/talks/david_hoffman_shares_his_sputnik_mania
"
170,1,44,42,8,15,24,224,59,17,53,132,70,111,"https://www.ted.com/talks/jakob_trollback_rethinks_the_music_video
"
